DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001224;RESERVA CULTURAL 2;43;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
01/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);7;6000029;1944;31112;SÃO PAULO;SP;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
01/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001098;SALA EDUARDO HIRTZ;7;;2864;6750;PORTO ALEGRE;RS;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
02/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001224;RESERVA CULTURAL 2;43;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
02/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);8;6000029;1944;31112;SÃO PAULO;SP;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
03/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001224;RESERVA CULTURAL 2;36;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
03/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);4;6000029;1944;31112;SÃO PAULO;SP;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
03/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5001098;SALA EDUARDO HIRTZ;2;;2864;6750;PORTO ALEGRE;RS;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
04/05/2026;KOKUHÔ;KOKUHO - O PREÇO DA PERFEIÇÃO;E2600003700000;JAPAO;5001224;RESERVA CULTURAL 2;7;6000092;2336;6665;SÃO PAULO;SP;SA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA;33.356.343/0001-42;304140611000726;03/06/2026 14:47:59
04/05/2026;O ANO EM QUE O FREVO NÃO FOI PRA RUA;;B2600094400000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);2;6000029;1944;31112;SÃO PAULO;SP;LIRA FILMES PRODUÇÕES LTDA ME;21.054.261/0001-64;212882840001126;30/05/2026 16:04:06
